episode_rewards,episode_items_collected
-44.59896397388084,51
-44.521357161074015,15
-31.831304690059888,33
0.0031262387067749753,36
1.715299387078086,117
-26.35557493000434,43
-6.327948670155471,50
-17.22752870909938,25
176.76986413031582,231
-47.75091490107629,28
16.317626765595286,73
-26.323240054059884,29
24.34436562885485,116
1.2227711489284174,43
-23.791487352856347,48
6.888578960327783,43
-0.22617129799196012,51
128.67631537664354,204
14.131126140345456,70
9.238568485348525,71
-2.553507426360693,30
8.547566380959328,66
6.164337282556467,70
22.97059744075115,57
17.114607098836416,95
74.53289052750286,141
60.29425765474035,106
29.59288801071456,60
45.342533876997216,79
24.13866003604337,70
233.70635985214244,278
38.161101930304994,62
24.9025658431456,50
138.9197820655412,211
75.43770821493803,140
42.92564562025315,69
115.75494002418385,169
28.619343068951103,42
59.129708346799866,128
46.18020581339292,70
78.11283408583837,154
69.03009182478002,84
235.6188793714899,285
46.48820276234864,59
81.45537773516324,109
23.439961543962887,57
70.75144251345719,91
75.89563619296065,101
60.875105976317194,83
68.70280345535103,104
70.42518686247357,91
36.22008979909346,76
41.643063929682434,52
82.88405257573707,98
110.89984504015368,147
155.18593939571753,189
94.21958639742891,159
119.79166875671906,149
165.59748033666412,191
87.3194838300522,128
72.59306491933653,87
59.40199213370434,100
86.14876393633698,123
103.8246163954821,115
28.54334172455208,67
146.59396964185188,176
98.08978750849143,115
123.07252796012864,151
31.3428886753245,41
95.75439037086382,105
60.348442453503644,78
165.70088154172848,209
101.24758890542826,127
104.02284051886501,118
231.4020474896086,254
104.07672793145309,116
211.66345749004608,240
33.08462862837314,78
69.37934131804761,80
181.5186471040468,204
232.41138986651112,255
145.0760925610671,160
227.69982837462192,250
52.884050411181406,84
133.445103246311,156
342.06283171317335,348
69.28428630799922,88
68.07253126479003,113
331.70264730808503,352
86.79786848574683,98
100.88045187564174,120
253.65438150761202,278
127.4172146010347,137
170.3882492126202,190
103.87239409811197,122
85.11309379712928,101
124.29791815524077,142
144.52962897345148,163
485.53487002701024,462
108.12995749091016,119
103.99492763684634,113
80.79523451847267,99
234.03952679878773,269
156.17868265124682,167
87.00212380981061,102
87.01838345052299,92
169.48118045736112,179
97.56139215794606,106
102.74542321618401,122
182.86992088610035,205
216.3851182951413,227
85.25369331480326,95
137.39415058622774,146
180.31367797595655,212
158.82974008564423,178
125.99923566901948,137
118.55869341165422,128
81.8528271120254,90
97.05875559004015,122
107.84990731710651,113
148.08360732616697,170
52.3804681164395,62
124.1447525897437,130
124.91045622595621,135
98.43619049349091,115
137.2796053418809,152
110.27345131151112,120
107.65355020166714,134
52.92301625875031,107
111.66723486480839,114
128.2729505808973,139
24.551968259205342,65
181.4122115676753,196
52.10208872900182,54
122.90896435850615,138
165.95016383448208,174
344.4167332065965,343
124.81895871191782,139
144.1222850390399,151
382.28574752980126,363
287.00086557390034,289
120.34975250994151,132
131.0019471117581,134
180.68208088586013,179
144.73128380349957,159
225.79437984006267,236
419.17131102000207,401
125.64180873177841,133
88.2098231287139,107
119.30002160951248,132
53.6750157891759,91
131.84397149032853,137
144.70811784609793,145
264.78757820898056,269
154.78592462203784,162
145.584946528456,147
115.41494347051318,119
102.53863515335526,134
231.17559604888604,241
99.4642975599332,129
199.24857288133964,205
234.3526679525417,243
202.42732364725504,218
108.93999802653686,115
178.5646496324386,182
464.75490859512485,424
295.1873065633798,297
457.25583001452793,435
201.13707894576,211
118.60187830936266,124
356.118421961264,345
226.2814794417777,230
145.83919629937844,148
102.02916055625352,111
197.1857929018879,207
167.97628145105455,178
52.72361104882629,53
135.2591539285139,146
176.81090702426076,184
