episode_rewards,episode_items_collected
-46.119630223346796,26
6.471066464756126,111
-36.79936276535142,20
-10.243750384585185,28
-14.308697643197535,13
-20.95264903570466,21
74.06926318089381,171
-10.019955681742674,35
-39.414297245231786,16
16.01955013601708,40
10.994954393966713,58
16.611904236314942,67
3.7451896218960816,32
66.16623801392551,162
-27.20988766467388,98
4.4024216151111135,80
193.82933477348547,255
52.94428643745288,140
25.702035107201457,41
11.308772042657816,48
52.45106688079582,106
-30.658207019395206,54
19.770871726540687,62
81.86973469057226,162
-4.866781551500476,32
38.24440852735058,111
4.598447665795875,54
36.32995836962064,75
70.81139440924836,106
77.98355128342338,135
62.01525356550751,122
83.41583893735464,151
36.00537958168602,50
170.42141574744142,212
61.1125463128178,76
45.45177551732643,80
85.33429355899786,116
202.26676109970225,229
303.6584360928185,346
99.43120711521527,161
52.72805468292418,103
85.52293904133832,114
-18.401741191809453,67
-16.86368048877715,51
22.27502511069646,37
23.534554187782003,60
53.833514372593385,63
78.81970310589867,89
30.957904508093126,69
40.15668246898843,80
84.72523828009105,92
30.921557052738287,91
-8.605782525023093,53
116.15714024083616,149
71.31603599150948,91
105.6994300080324,137
89.41854264598649,111
307.8211840133678,320
46.38658859057652,69
28.97380119436494,45
77.17710167737037,91
88.27293289434387,97
98.71899271536495,120
132.1716450922447,169
68.54126760082458,104
16.654967598321242,67
324.8459126012157,340
118.5904447694972,146
191.31239021756022,228
103.49537646440572,127
42.67516764094874,57
207.79198656389167,237
86.71442551612469,97
46.76993324913738,77
131.59506392288216,156
33.91326120922027,42
301.1950253235498,324
93.70681937648122,124
292.0358732042378,310
72.66402906952959,90
102.44857506078132,118
113.45616751777216,135
53.23807514569434,99
61.460944387849096,90
221.0161632795409,239
23.070139914992513,76
252.54219249061964,251
114.6177324653505,136
120.98116265945666,140
92.69841071379635,98
99.44912302842083,111
109.43635766426765,126
94.82029569907048,100
130.65442799500647,148
149.34542235430905,165
104.69614527073543,127
93.15374815395953,101
125.4701799878883,136
140.60728960089745,153
118.61857474703443,129
106.99246347541597,128
148.20681524379867,170
80.82463315449903,87
36.79364620055513,80
99.89250082082,112
51.6131378046225,95
117.31411135583546,126
98.57775945918844,101
34.259139812360054,80
140.17477854708565,155
94.20820287098276,122
101.85766050403186,120
239.77110484435426,252
101.6493039631958,110
130.78816204106835,145
214.49412100977932,219
348.1209435365619,341
148.15723240386123,169
92.46244186680278,124
93.07692779718471,100
103.15481392614294,121
143.0396214394203,149
147.9254266578653,158
182.22036359449825,192
143.47236104115225,148
157.14597325912382,166
155.36404076100334,161
448.266123222091,441
120.67219513260463,128
303.2491639369711,315
287.97185360637496,283
66.63602620911084,94
118.20101647523563,126
141.97338931817123,149
238.88046407429658,240
277.34557135686765,283
212.91004721554918,222
82.01745122336334,90
257.2404145748421,270
162.24069327614157,167
253.3005836639288,263
62.75919120930041,68
160.7570362331667,179
146.72461973307705,156
148.33265802078898,151
143.67635699073654,149
227.6973665495975,237
87.20889639064683,115
133.86259188803308,150
208.8535286472632,213
121.41840394712581,132
124.34766444119879,134
156.14391350800173,162
142.09569653825505,147
141.0022031619448,150
123.88218832258731,132
307.51461218957417,312
239.444153790955,240
184.74456140404934,194
155.15695253358967,163
71.91108928871826,75
35.55870945670211,39
227.04453162323816,235
133.96465454818724,138
151.04636741913114,154
345.7012872514048,341
173.33172651393394,184
186.39433469938217,193
222.27496602816956,227
391.6486427753465,382
190.8937100156353,202
60.6591153955759,63
112.12216260745723,119
118.93021433979601,124
139.40526946417893,143
115.5410490971807,116
201.8746524774512,205
195.26319407028416,198
154.9128434419528,159
143.84870103607375,150
193.73076201138716,205
75.5295606553757,113
126.2461800670926,132
149.8089823169878,153
65.13366778118957,85
261.48072575562685,268
183.37760951833778,192
216.19839495907675,221
136.45223833011562,145
526.3620867842608,473
110.88596561270197,111
195.4821492929458,197
154.72861000949197,158
223.23877818006977,219
121.74554660606775,126
186.3760936572323,189
154.53610505888074,153
149.93556836371414,161
274.64526341828764,276
337.94333629942764,334
134.7974204216967,137
129.4350465555095,137
155.9455773605944,162
425.68208379860147,405
179.5397668636511,181
147.4153254147505,151
124.27924971051476,127
52.96261957962927,97
155.43691200606378,154
147.65009198651967,151
150.2006890135576,151
